ID,TARGET
1029139294,2
488458692,2
84739635,0
1136879075,2
345837985,0
5124533761,0
633716550,0
1153808180,0
332388584,0
813590922,0
636126665,1
4103380035,0
380078922,0
583120622,1
5389126267,1
590568637,0
361531455,0
619356674,1
322305313,0
467698698,1
3151785844,0
84926673,2
575137659,1
7296554374,0
3151869535,0
529921339,0
1153921619,0
433823933,0
1151018144,0
10388690048,0
5124331472,1
157832806,2
89889961,0
565024323,1
528556857,0
8404470909,0
86827823,1
1153336842,0
450482679,0
344941783,1
815082987,1
8383746588,0
642575269,0
1427226715,0
7425897206,1
1154380268,1
5122039288,0
1131775253,2
1014787513,2
596373190,0
1154337535,0
1153822838,0
6395330823,0
731829186,1
7379184042,1
587669079,1
483979864,2
1146902899,0
87008741,0
87648296,0
631893420,0
85056051,0
1141309322,0
3382772184,0
751976696,1
345989702,0
1037419914,2
3429120038,0
568445645,0
754379932,0
582737808,0
345140136,0
756148415,1
108266347,2
86893656,1
1150705562,0
724017967,0
631908048,1
614858622,0
733705303,0
732149504,0
580977107,0
810049760,1
384616648,0
1149387560,0
1153216882,0
69700151,0
647838685,0
475579355,0
614854527,0
4380522914,1
1054819054,0
86639872,0
66570898,1
4108996303,1
732893173,1
7397472595,0
825292465,0
733435575,0
751586379,0
1402364107,0
366904582,0
1151015424,0
1042626157,0
1065091777,0
10124459053,0
530615693,0
4397183339,0
1143843067,0
1052787522,2
346175270,0
1127161163,0
1391359268,0
6379418764,0
643540967,0
59504418,1
736366292,0
1149654073,0
744511024,0
621962649,1
470321108,0
374532425,0
1423484437,0
10420764518,0
1151110806,0
593085817,1
1137461306,0
752416968,1
1056573004,0
1394634307,0
136985778,0
68872371,0
117331147,0
85861708,1
1125321402,1
8387235526,0
1152933801,0
332894708,0
1153916280,0
4380311158,0
734197484,0
460999867,1
424899838,0
746471027,0
635461289,0
820524044,0
1153007491,1
611398731,0
1146661519,0
1146248333,0
645195161,0
5417470079,2
8397968883,1
562055975,0
1151110605,0
643278604,2
1154149685,0
1154256215,0
1152540105,0
1148573719,0
68086961,0
750929789,0
433178292,1
510595431,0
563316761,0
1151361107,0
1150434660,1
635776597,0
3152193472,0
1145935749,0
1146759588,1
623620323,0
441207916,0
528236554,1
1011416164,0
5122269146,1
344992889,2
44558108,0
1153599154,0
580657561,1
424371299,0
831612809,0
1041992872,0
432287754,0
120443224,0
750399880,0
3440132826,0
44788436,0
1044169790,0
753822802,0
444641123,0
1046183999,1
620858929,1
16427536,0
524340850,0
1153911080,0
1152536593,0
10410817189,0
639259972,0
620335740,1
1153952710,0
1148414537,0
753188225,0
583014074,1
470330350,0
577110323,0
734771550,0
1145572764,0
1400247928,0
88703908,1
829829606,0
346055988,1
825461130,0
1148015031,1
463722533,0
640135736,0
1144321813,1
437806693,0
1419143004,0
518593243,0
1146800048,0
1146232510,0
1033578428,0
7408157029,0
646238365,1
632171793,0
810823555,1
610621251,0
565133097,0
3151445594,0
565090275,0
10151755028,0
829354068,0
1036856105,0
3392111442,2
5393744252,1
10405057605,0
744371667,0
1152641276,0
1152721603,0
44781025,0
1047709265,2
419001809,0
84428763,0
1129362026,0
5115008588,0
85866542,0
126625229,0
85064645,0
642756378,0
1070588881,0
1150478289,0
1154423749,0
563190275,1
436791292,0
754007361,0
361449535,0
3109825323,0
1152535559,0
1402817795,0
812573074,1
361538263,0
389641744,2
7390048167,1
1144724310,2
1027568527,0
1150700759,0
440677127,1
1126179274,0
567184543,0
1067366687,0
738229686,0
7400459164,0
1154359433,0
1143632278,1
820053487,0
379891964,0
1137105666,0
1153817095,0
432524263,0
736454706,0
3385437409,0
635355321,1
8421726564,0
735264183,0
717574815,0
1152885706,0
1154413690,0
335195665,0
828299534,0
1148819505,0
118066271,0
1032073909,0
816083517,0
10379441427,0
1153563701,1
1034783559,0
1152287396,0
1012796558,2
1152353858,0
444342078,1
7395038939,1
85254843,0
749541994,0
1152649606,0
488351213,0
1147964862,0
5117432587,0
3151909099,0
